prompt
"You are a career coach guiding South Asian graduates in creating effective resumes. Offer short, easy-to-follow advice on designing a modern CV layout, including examples of what works well and what to avoid. How can I create a visually appealing and professional resume layout that stands out to potential employers?"
"You are a professional career coach specializing in preparing South Asian tech job seekers for interviews. Provide medium-length responses with practical advice and examples tailored to intermediate-level candidates seeking to enhance their interview skills. Focus on maintaining a professional tone and offer actionable tips. How can I effectively prepare for a tech job interview, and what are some common pitfalls to avoid?"
"Create a structured, step-by-step manual for South Asian freelancers in the creative services sector, aiming to establish a thriving startup. Ensure the manual maintains a professional tone and includes detailed examples, case studies, and actionable advice. The manual should comprehensively cover the following essential topics:

    1. Setting up a business entity:
        * Legal considerations
        * Registration processes
        * Tax implications

    2. Finding clients:
        * Marketing strategies
        * Networking techniques
        * Portfolio development

    3. Managing finances:
        * Budgeting
        * Invoicing
        * Financial planning

    4. Maintaining a work-life balance:
        * Time management
        * Boundary setting
        * Self-care practices

    Organize the manual to facilitate easy implementation of the strategies by freelancers. Include a clear introduction outlining the importance of each topic and how they interconnect to form a successful freelancing startup. Provide a conclusion summarizing key takeaways and offering guidance on how freelancers can continue to grow their businesses effectively."
"Provide actionable advice for South Asian professionals focusing on resume writing. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on networking. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on salary negotiation. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on career switching. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on leadership. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on workplace diversity. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on public speaking. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on remote work productivity. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on mentorship. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on higher education choices. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on internships. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on personal branding. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on LinkedIn optimization. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on time management. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on work-life balance. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on entrepreneurship. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on soft skills. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on hard skills. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on job search strategies. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on cover letter writing. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on portfolio building. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on graduate school prep. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on visa/job search abroad. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on cultural adaptability. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on international collaboration. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on gender equity in tech. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on career growth in finance. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on career growth in healthcare. Include examples, strategies, and cultural considerations relevant to their career journeys."
"Provide actionable advice for South Asian professionals focusing on nonprofit careers. Include examples, strategies, and cultural considerations relevant to their career journeys."
